iter	Passed	Remaining
0	182	63818
1	265	46136
2	357	41326
3	436	37746
4	489	33804
5	542	31077
6	589	28909
7	637	27248
8	683	25907
9	729	24793
10	773	23832
11	821	23127
12	865	22432
13	904	21698
14	945	21110
15	993	20742
16	1042	20427
17	1089	20086
18	1133	19745
19	1177	19422
20	1219	19107
21	1261	18808
22	1302	18523
23	1343	18253
24	1385	18017
25	1427	17793
26	1469	17574
27	1511	17378
28	1552	17184
29	1594	17007
30	1636	16844
31	1677	16673
32	1719	16516
33	1762	16379
34	1805	16249
35	1848	16122
36	1889	15985
37	1930	15853
38	1972	15729
39	2015	15621
40	2058	15512
41	2100	15400
42	2142	15297
43	2184	15192
44	2227	15095
45	2269	14999
46	2310	14897
47	2353	14805
48	2397	14725
49	2442	14656
50	2486	14578
51	2528	14489
52	2570	14406
53	2613	14323
54	2655	14242
55	2698	14165
56	2740	14086
57	2782	14010
58	2824	13932
59	2868	13862
60	2910	13787
61	2954	13723
62	2999	13662
63	3044	13606
64	3091	13553
65	3137	13500
66	3180	13431
67	3222	13363
68	3268	13310
69	3313	13252
70	3356	13189
71	3401	13132
72	3444	13070
73	3485	13001
74	3526	12930
75	3569	12868
76	3615	12818
77	3658	12758
78	3701	12697
79	3745	12641
80	3798	12613
81	3842	12559
82	3887	12505
83	3929	12442
84	3970	12378
85	4010	12312
86	4053	12253
87	4103	12217
88	4154	12183
89	4200	12133
90	4245	12082
91	4295	12046
92	4345	12009
93	4388	11951
94	4429	11889
95	4468	11823
96	4510	11765
97	4551	11704
98	4591	11641
99	4633	11582
100	4671	11517
101	4717	11469
102	4768	11434
103	4811	11380
104	4853	11324
105	4894	11266
106	4933	11204
107	4973	11145
108	5013	11085
109	5052	11023
110	5093	10966
111	5137	10917
112	5180	10864
113	5221	10809
114	5263	10756
115	5306	10704
116	5347	10648
117	5389	10596
118	5429	10540
119	5468	10481
120	5507	10423
121	5548	10368
122	5588	10313
123	5628	10258
124	5668	10202
125	5707	10147
126	5749	10095
127	5790	10043
128	5830	9989
129	5871	9936
130	5911	9883
131	5952	9829
132	5991	9775
133	6030	9721
134	6071	9669
135	6113	9619
136	6152	9566
137	6191	9511
138	6231	9459
139	6273	9409
140	6312	9356
141	6351	9304
142	6391	9252
143	6431	9200
144	6471	9148
145	6516	9105
146	6566	9067
147	6616	9030
148	6665	8991
149	6711	8948
150	6758	8906
151	6806	8866
152	6858	8830
153	6901	8783
154	6943	8735
155	6989	8692
156	7031	8643
157	7073	8595
158	7114	8546
159	7156	8498
160	7196	8447
161	7235	8397
162	7277	8348
163	7317	8298
164	7356	8248
165	7398	8200
166	7438	8151
167	7480	8103
168	7519	8053
169	7560	8005
170	7603	7959
171	7642	7909
172	7684	7862
173	7726	7815
174	7768	7768
175	7808	7720
176	7852	7675
177	7896	7630
178	7939	7584
179	7979	7536
180	8018	7487
181	8056	7437
182	8095	7387
183	8135	7339
184	8176	7292
185	8216	7244
186	8260	7200
187	8304	7156
188	8351	7113
189	8394	7069
190	8438	7025
191	8479	6977
192	8519	6930
193	8561	6884
194	8606	6841
195	8647	6794
196	8690	6749
197	8731	6703
198	8769	6654
199	8808	6606
200	8848	6559
201	8890	6513
202	8929	6466
203	8969	6419
204	9010	6372
205	9052	6328
206	9097	6284
207	9136	6237
208	9179	6192
209	9222	6148
210	9264	6103
211	9305	6057
212	9344	6010
213	9386	5965
214	9434	5923
215	9482	5882
216	9528	5839
217	9585	5804
218	9644	5769
219	9694	5728
220	9748	5690
221	9801	5651
222	9845	5607
223	9886	5560
224	9924	5513
225	9963	5466
226	10000	5418
227	10039	5372
228	10077	5324
229	10118	5279
230	10158	5233
231	10200	5187
232	10242	5143
233	10283	5097
234	10323	5052
235	10364	5006
236	10404	4960
237	10445	4915
238	10486	4870
239	10526	4824
240	10571	4781
241	10614	4737
242	10654	4691
243	10695	4646
244	10736	4601
245	10775	4555
246	10816	4510
247	10857	4465
248	10898	4420
249	10939	4375
250	10979	4330
251	11018	4285
252	11058	4239
253	11100	4195
254	11141	4150
255	11182	4106
256	11222	4061
257	11263	4016
258	11304	3971
259	11343	3926
260	11384	3882
261	11425	3837
262	11464	3792
263	11505	3747
264	11545	3703
265	11586	3658
266	11627	3614
267	11667	3569
268	11709	3525
269	11750	3481
270	11790	3437
271	11829	3392
272	11870	3348
273	11912	3304
274	11956	3260
275	11996	3216
276	12038	3172
277	12081	3128
278	12126	3085
279	12168	3042
280	12208	2997
281	12249	2953
282	12289	2909
283	12335	2866
284	12380	2823
285	12424	2780
286	12467	2736
287	12508	2692
288	12549	2648
289	12591	2605
290	12631	2561
291	12672	2517
292	12716	2473
293	12758	2430
294	12803	2387
295	12847	2343
296	12898	2301
297	12944	2258
298	12998	2217
299	13048	2174
300	13097	2132
301	13143	2089
302	13188	2045
303	13237	2003
304	13296	1961
305	13344	1918
306	13388	1875
307	13431	1831
308	13473	1787
309	13513	1743
310	13552	1699
311	13591	1655
312	13634	1611
313	13674	1567
314	13715	1523
315	13757	1480
316	13798	1436
317	13838	1392
318	13878	1348
319	13917	1304
320	13958	1261
321	13999	1217
322	14041	1173
323	14083	1130
324	14123	1086
325	14163	1042
326	14204	999
327	14247	955
328	14287	911
329	14328	868
330	14369	824
331	14410	781
332	14451	737
333	14492	694
334	14534	650
335	14575	607
336	14624	564
337	14682	521
338	14778	479
339	14799	435
340	14863	392
341	14906	348
342	14947	305
343	14985	261
344	15023	217
345	15061	174
346	15098	130
347	15134	86
348	15171	43
349	15206	0
