event_id,txid,timestamp,src_ip,src_port,dst_ip,dst_port,country,asn
EVT_29e7711863d24e6b,29e7711863d24e6b9383e15e4a4fe8dd887c375008f03dee7a5a87d444139365,2026-01-01T00:00:56+00:00,78.18.57.35,37971,31.5.47.231,8333,US,15169
EVT_fd1927a3e10d85f2,fd1927a3e10d85f25a86ffae8490c906bb186b1085c1390a47ea9195544eb08d,2026-01-01T00:02:17+00:00,45.80.106.254,60436,85.57.156.44,8333,US,9009
EVT_40cb5228810deb5e,40cb5228810deb5e87dba130520d357d385ff3774424978eb1830d14d007ed6d,2026-01-01T00:03:41+00:00,185.108.40.120,59677,104.46.241.222,8333,CH,13335
EVT_c9f1a37a0dd92e12,c9f1a37a0dd92e121a19066c967ba250f7e3bc711381e2ef6877eacb8829c7b3,2026-01-01T00:05:00+00:00,168.144.100.88,29430,178.140.123.151,8333,SG,9009
EVT_b8cd3250ed839261,b8cd3250ed839261bc277bfa94bd7e7dbe3746d3ca2d3552e993eef42324c0d3,2026-01-01T00:05:15+00:00,185.109.183.91,51226,85.92.133.84,8333,US,15169
EVT_cbc62569775e3985,cbc62569775e3985d7ce31860e88906cf0ac3a837b11845d5d13c155ac3897d0,2026-01-01T00:05:26+00:00,104.144.64.200,48493,45.190.126.60,8333,US,13335
EVT_2fbfe2c8ba333611,2fbfe2c8ba33361108a3726bb694ba8dfb55049c06d9d81b880ad426cd58785e,2026-01-01T00:06:18+00:00,168.154.154.107,28447,31.236.213.122,8333,US,3320
EVT_4dedab4f1df2862f,4dedab4f1df2862f296441ea3b7e55794aa181ab3f58531e252d785325a085bc,2026-01-01T00:07:47+00:00,45.118.11.224,9086,198.45.174.192,8333,CH,15169
EVT_65c7113b7272262f,65c7113b7272262f53fd95d9436fb482b5fc9b8f710f9f244251adcd3312b9ac,2026-01-01T00:08:05+00:00,168.105.242.26,38813,198.161.53.69,8333,SE,14061
EVT_6e443ce13d10a223,6e443ce13d10a223d7300503b1c794f81e3b63c607d417a78bf113b67ae81454,2026-01-01T00:08:18+00:00,104.148.135.72,57062,62.133.1.156,8333,US,24940
EVT_133a4ff496f5c0ac,133a4ff496f5c0ac3813344335c9dd6a92d371bece300e885e54b9b4d84bd2f3,2026-01-01T00:09:06+00:00,45.70.95.12,48167,31.235.91.102,8333,CH,15169
EVT_7b081016e04373b5,7b081016e04373b55f296b959a78c0694abb95ea893997c8323e21a8242559c2,2026-01-01T00:09:53+00:00,185.99.32.243,26620,45.218.101.205,8333,CA,60068
EVT_b14d6daea70505fc,b14d6daea70505fcd966279dbcc783438fe0c06fc024e1f425469899a0db94da,2026-01-01T00:10:53+00:00,104.85.224.120,42931,62.150.29.241,8333,SC,16276
EVT_e8d08c9f1a1b3ef5,e8d08c9f1a1b3ef53cd4c5e90915ae4f76bb2bdd902600533da369cc52fa4249,2026-01-01T00:11:58+00:00,185.121.63.194,5139,178.6.111.5,8333,SC,13335
EVT_271cfc7a65df3f7c,271cfc7a65df3f7c957a9f6f2fd7c46d30237505be210a8bbddad2c3a382078d,2026-01-01T00:12:03+00:00,104.192.52.86,56764,51.77.142.71,8333,CH,7018
EVT_52a492399e237773,52a492399e2377733c77ada623d258dbbb53079432d05da9562fbcc018357402,2026-01-01T00:12:24+00:00,45.180.244.168,28448,78.170.242.249,8333,FR,9009
EVT_65d09c7a6259bb32,65d09c7a6259bb32438464f2a489fc4dc194d162b8f62091ab5e8ccb757b630b,2026-01-01T00:13:34+00:00,78.184.79.56,41705,178.35.177.91,8333,JP,13335
EVT_3c73e5ebae67a707,3c73e5ebae67a70714e1688dcb6b509d7820c51096e8b6dd84eba263b9eae044,2026-01-01T00:14:31+00:00,78.184.79.123,47826,24.164.205.205,8333,JP,13335
EVT_0a9f56141333d92d,0a9f56141333d92dc23a7ac5df3843413830f637d8f56308aa8fcc0a10fdb2e0,2026-01-01T00:15:19+00:00,78.184.79.58,53495,78.99.61.209,8333,JP,13335
EVT_4bd38982fac2f25d,4bd38982fac2f25d2965b9bb1d7363aae70eb2ea98fca99cf727255eff6bba18,2026-01-01T00:16:09+00:00,78.184.79.154,3519,62.66.16.63,8333,JP,13335
EVT_c54e213b31f702fe,c54e213b31f702fec69ff3bb17eab73890f9e8bb0de1e589208858c066af141c,2026-01-01T00:16:19+00:00,93.202.239.142,9050,93.29.254.28,18333,SG,14061
EVT_27886d5bf0cf19a7,27886d5bf0cf19a7578e4ccc6a16632aa38f930d1d5eda91e4d8a8be633a252f,2026-01-01T00:16:22+00:00,198.111.171.77,8080,178.233.102.16,8333,SC,24940
EVT_cf61f9dfda2511d1,cf61f9dfda2511d19fe63756120b8f0dbb72fef7e0b506ff0ee1f006cdfedf4a,2026-01-01T00:16:31+00:00,45.140.39.244,59947,178.193.248.109,18333,RU,14061
EVT_f3c6973c672a53ff,f3c6973c672a53ffc9636bdc927337b93466ef0f2ee3dffcaf267a66fe91d082,2026-01-01T00:16:33+00:00,178.114.230.10,9150,24.233.212.204,8333,SC,14061
EVT_76aa6a4f32677211,76aa6a4f32677211c9afae9a5ff830df5cfd1dd579b9b14f8e437d1a9b0bb59c,2026-01-01T00:18:00+00:00,104.69.120.51,59309,85.97.136.89,8333,US,24940
EVT_ac2503c7057485df,ac2503c7057485df0f421533ffc6666a871d0b042ed5b3e95439f1d3f40e9e8c,2026-01-01T00:18:59+00:00,78.100.57.121,34086,31.137.238.62,8333,SE,15169
EVT_1fb7148fdff8edd2,1fb7148fdff8edd29fcfcc51b22a5f5baa3f58d18cf5dfa4cbb54708d17e43d3,2026-01-01T00:19:12+00:00,78.166.77.10,43836,62.194.182.119,8333,SE,16509
EVT_57170cbce49138e0,57170cbce49138e0cfdafc7fb48d4b93d9d6d4d422ca675d9a4c9a3eabbb7549,2026-01-01T00:20:32+00:00,45.171.171.162,8392,85.241.7.149,8333,NL,16276
EVT_2145e1ca079f3052,2145e1ca079f30522ba0ecf03ab52466a15dec02a5b9fae21c80ffe09e1d5428,2026-01-01T00:21:26+00:00,185.178.196.187,24302,104.192.37.213,8333,US,60068
EVT_8dd9038b3ec22f4a,8dd9038b3ec22f4aba4df6b913fe75c28e2f3c3b39182cad2acaac433265a4fc,2026-01-01T00:21:58+00:00,104.99.169.175,54602,24.239.174.38,8333,FR,24940
EVT_da7080c3c353b894,da7080c3c353b8945c1fdb65b02b6a323b9fcd0a1624a83533392ed1155d27ab,2026-01-01T00:23:25+00:00,185.161.130.14,23208,178.153.213.82,8333,BZ,14061
EVT_b6418dbed213ad1a,b6418dbed213ad1abc850b368661f15f83f73dd7e1b742b9c9e4ddf21643c3a2,2026-01-01T00:23:45+00:00,185.108.90.55,32058,85.209.158.60,8333,US,16276
EVT_916c49dea54b172e,916c49dea54b172e4bf8ee6712fd643684436d1ee6334e723fc479af28f5d477,2026-01-01T00:23:50+00:00,168.104.186.161,35465,104.205.51.153,8333,SG,14061
EVT_4a16cedb1741877d,4a16cedb1741877d1be73ccf2068fc3dfae70392fafcf25db7fd42bfa5554349,2026-01-01T00:25:19+00:00,78.37.54.15,2263,198.124.143.238,8333,US,13335
EVT_3a180861d4fb0ed1,3a180861d4fb0ed17000eeb6975cb8a2a72377e01308b6f7596b1cfee3117efa,2026-01-01T00:25:39+00:00,45.71.168.192,53771,93.75.90.35,8333,US,16509
EVT_5671493b3095103b,5671493b3095103b0e2eca3a58cbe1d753a1bdaffbd4c3a4a9cb771d1005dec3,2026-01-01T00:26:37+00:00,51.216.213.250,8080,93.215.144.187,18333,SG,14061
EVT_e5022c6e5771dabd,e5022c6e5771dabde55f2d8ffd5db2af012e73465854d72830231c45121e9255,2026-01-01T00:27:19+00:00,45.124.74.116,44804,78.91.137.83,8333,DE,15169
EVT_69f4a2c76f43aa6d,69f4a2c76f43aa6d1598efc1b5fb4a8bab74f7428345be7e09838e2207a13a34,2026-01-01T00:28:25+00:00,104.14.29.127,40007,62.94.215.243,8333,US,16509
EVT_a3132add00f77709,a3132add00f7770962c9556a91c22a390e770dd37b95d8d98b91ad0cb3f41ccd,2026-01-01T00:28:48+00:00,85.196.9.69,17393,24.241.199.129,8332,GB,24940
EVT_4d5bea64588acc43,4d5bea64588acc432c9212c577737ff82ab967b2f8e17e3da63f152891a7b956,2026-01-01T00:29:08+00:00,142.29.75.145,9150,62.188.95.135,8333,SG,60068
EVT_e443b44e37d95327,e443b44e37d953273afc8ce93361458a9a1579d67039e4c7107580aff94ec4de,2026-01-01T00:29:24+00:00,62.242.249.33,443,203.47.27.174,8332,DE,9009
EVT_6a3f60a428fe8458,6a3f60a428fe84581902a0868546d3502e0e0bf60ffe940172b02920749022ff,2026-01-01T00:29:32+00:00,185.156.77.203,64458,203.49.178.58,8333,US,24940
EVT_81e977cb3f2f9f32,81e977cb3f2f9f321976e491aadcc57c631438931bdfb395438603c1e9e42ef5,2026-01-01T00:29:57+00:00,104.50.56.151,11355,85.241.148.94,8333,US,16509
EVT_0d8cfc1a7795838f,0d8cfc1a7795838fc04c528a888abf47c0fac63262460248ff5d935a7080541e,2026-01-01T00:30:04+00:00,45.165.110.173,55797,203.85.161.107,18333,RU,9009
EVT_2602350fa024f2d8,2602350fa024f2d8c0b42d648f61740bdfb91d14b6624889fcef4598d8898b0d,2026-01-01T00:30:29+00:00,203.159.140.100,8080,185.201.105.176,8333,SC,14061
EVT_f15194387d84b51d,f15194387d84b51d05cc04d0e84b6d2e47791bfb3347425ad462d9d1cc62544a,2026-01-01T00:30:40+00:00,85.89.171.165,9150,185.151.109.157,18333,US,9009
EVT_a0278573163ab0b0,a0278573163ab0b0eb7ed3b4dd0f887efb45fba066e788a3ea20d099c49824df,2026-01-01T00:30:50+00:00,104.144.247.88,32808,104.140.198.58,8333,CA,16276
EVT_072eef332e6bb573,072eef332e6bb573289fcb90d28afba67968134c4b934e06592830d4893f0012,2026-01-01T00:31:26+00:00,45.10.81.142,47458,198.71.201.15,8333,US,15169
EVT_58a9c4bb388ac0cf,58a9c4bb388ac0cfabb9f985ef78255d02ebbf851d480009c7f6ff24e43ff073,2026-01-01T00:32:20+00:00,185.149.77.238,7480,93.5.166.18,8333,JP,7018
EVT_a4e28df9fda284ef,a4e28df9fda284efa4c9d72fc328464b4d57557bd2b189d09956b191ba4cba82,2026-01-01T00:32:31+00:00,185.184.157.105,10275,104.153.64.163,8333,US,9009
EVT_885fc23b7483a5e9,885fc23b7483a5e9146a9a29134942c9343cf7ac32e8bb1b054d0ba1dd3c50b4,2026-01-01T00:33:04+00:00,78.181.90.113,49172,24.212.105.207,8333,PA,16276
EVT_3f0b380917a54c59,3f0b380917a54c59ccf991e0a3cab8cc5cc46f4d02f30f4078ce8272d26e8a75,2026-01-01T00:33:40+00:00,185.78.46.235,11884,104.88.26.118,8333,DE,15169
EVT_cebffe93d129a683,cebffe93d129a6830b922e73be88e7755eef71e307ab297a840ab4a7d6bbc4dd,2026-01-01T00:33:46+00:00,45.34.198.184,49793,24.97.127.115,8333,CA,16276
EVT_e183a2fab11d04c3,e183a2fab11d04c31a1a1ea4ff19d238ea0fedc4b704b2aa81a40fd498bb7c0b,2026-01-01T00:33:47+00:00,45.89.189.185,41616,93.43.24.154,8333,US,16509
EVT_dc3ecf7fa6425f8a,dc3ecf7fa6425f8a271e23aa867d70f2453f2799b17d462525aaaea651691562,2026-01-01T00:33:57+00:00,45.89.189.37,6443,78.123.144.45,8333,US,16509
EVT_e9e64a9ed1923ad1,e9e64a9ed1923ad131c9d7457a087458d2adde0777cb49f8f43783aa764aac36,2026-01-01T00:34:06+00:00,45.89.189.150,11958,185.245.249.73,8333,US,16509
EVT_2269639c6c52e9fb,2269639c6c52e9fbf05337747bb89b5beb6876295af87ce2394828cc9722bc2c,2026-01-01T00:34:48+00:00,185.192.201.6,62332,168.65.105.37,8333,SG,14061
EVT_4a164549e6c8b1c4,4a164549e6c8b1c432ed5c72f7d10fdc96cb94e6ba77e9af296f360da245a25d,2026-01-01T00:35:49+00:00,104.43.63.90,27903,51.235.139.192,8333,DE,16509
