txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,src_port,dst_ip,dst_port,country,asn,scenario_id
29e7711863d24e6b9383e15e4a4fe8dd887c375008f03dee7a5a87d444139365,2026-01-01T00:00:56+00:00,['bc1qv80sxylz8an7uygs9s7yvj45qzg2v5udu8k2nv'],"['3516mfjXkYvZ8MamJM8m22DjbZYyP79JVK', 'bc1qmthdqn38mk775nkgww6arfx0j8h068zr909r62']",[207309306],"[103654653, 103640387]",14266,P2WPKH,78.18.57.35,37971,31.5.47.231,8333,US,15169,SCEN_NORMAL_00001
fd1927a3e10d85f25a86ffae8490c906bb186b1085c1390a47ea9195544eb08d,2026-01-01T00:02:17+00:00,['1dzdChDx81sLNpsovkf153s31zHH4sY9Lf'],"['bc1q8znvp9npmajpvtxdd4xc9uyk3v27nj7gcwgufh', 'bc1qlp6we5pkuuufvl7jwheu44fccj0ek8qcsyshas']",[139994202],"[69997101, 69992929]",4172,P2WPKH,45.80.106.254,60436,85.57.156.44,8333,US,9009,SCEN_NORMAL_00002
40cb5228810deb5e87dba130520d357d385ff3774424978eb1830d14d007ed6d,2026-01-01T00:03:41+00:00,['1ZFG6dz3UjgRtq8adNrKfvD8b65r3tTrQS'],"['3kfpwASThagt1cT4f7or4LeTt2hC1QQdjT', 'bc1qppkdqg3vth6rgrz8asjad2x7kar3tw49p39fss']",[109179556],"[54589778, 54585849]",3929,P2WPKH,185.108.40.120,59677,104.46.241.222,8333,CH,13335,SCEN_NORMAL_00003
c9f1a37a0dd92e121a19066c967ba250f7e3bc711381e2ef6877eacb8829c7b3,2026-01-01T00:05:00+00:00,['3A6aLN2FS83ciBjGuK4ryK2zFtFZT7GSYM'],"['bc1q7g0s57vyzvweuqtpqn8x8grs9jc7gac5z7gqrn', 'bc1qe6t50v2t6p6ezgc2m7cv742590v7we82893n0r']",[53285955],"[26642977, 26640670]",2308,P2WPKH,168.144.100.88,29430,178.140.123.151,8333,SG,9009,SCEN_NORMAL_00004
b8cd3250ed839261bc277bfa94bd7e7dbe3746d3ca2d3552e993eef42324c0d3,2026-01-01T00:05:15+00:00,['bc1qd62wuhst090p70edc7dq9qqd295fp9hh9pnzuy'],"['1rgeii1j1f9S13ujNrFtLg4T39n1gHtVCF', 'bc1qx9aphs7e2xvz50rusmr4u83aljny0qtmna06u5']",[223260441],"[111630220, 111621083]",9138,P2WPKH,185.109.183.91,51226,85.92.133.84,8333,US,15169,SCEN_NORMAL_00005
cbc62569775e3985d7ce31860e88906cf0ac3a837b11845d5d13c155ac3897d0,2026-01-01T00:05:26+00:00,"['1MQ5uKVnRCrsDtwePWrVAnvFNcy76Sek14', '1ySVkpzYrP4tQAPjwGDppYiHTX1YWkhuCc', '1T7xSAHaKXPPhhWtGWJt55oDLboyrpcM5H', '167QaaHti6Ty7vfuYqBBsDGiLcS2xGZPgL']","['bc1qnu9m630qc83mp4tyjp9xkckryddyqc0al824th', '1jest9iABgyYbtEr2hsneg6VdCkCnguzuD', 'bc1quwkzs4fm8svw935y2yu38w9k63cquf4w7gjudp', 'bc1qvmwkfq87h63t3vpgpqkslm03v7t5swxth9kmyk', 'bc1q5yzq38msw3gvzap3924m5xy3zhkv3h7u7gm0z9', '3cKWfkCW3yPefHyJR7VFMFS4TnZKKYok1U', '39GYVDhc7sFwsG1gzbG7HQBGYbrs1ELREt', 'bc1qf976ewctg8vrz76wu4cv3przwv64q79g8r27rl']","[12431635236, 5530102270, 9761625621, 7111331436]","[2488191336, 2488191336, 2488191336, 2488191336, 2488191336, 2488191336, 2488191336, 17417339364]",15847,P2WPKH,104.144.64.200,48493,45.190.126.60,8333,US,13335,SCEN_BENIGN_HIGH_VOL_00006
2fbfe2c8ba33361108a3726bb694ba8dfb55049c06d9d81b880ad426cd58785e,2026-01-01T00:06:18+00:00,['3BxAxHHMPUNCEC97LpbgLJr6DgtrddQi6V'],"['bc1q7zvh9dde6ymgtnza5rq7cmm8hrjg5mauluwpmz', 'bc1qmdspjd5k8d5fs8nwj6fnzl33lpaz9ul34wtg8u', 'bc1qck4cwlz487e59rc4vdcygcu4vu5uesz4r9878j', 'bc1qa204sk2rc2jt84dqnzaqtrjv6rucdt9nlfkpv2', 'bc1qrcysyuhxkg5p4fxpwdxmwyz4j6sjhknh0zwfcs', 'bc1q34f0wtyj673k3n2egtg0f9pyh4352cvcphn0z9', 'bc1qs6wwfj6n0hslrrl8lysjmlhtk43308nhdk0wcq', 'bc1q9ur97kemly2kmuzrzvclkqqxv5s3thm9605w0s', 'bc1q9rmjzupmrxj3rcdcl6h2ldjajjaregnxz2e23x', 'bc1qu03vcdr5zenft5efmdz57saeavvn5qsatrqgvy', 'bc1qq57m25l2ztr9yegpcr40385xawdjgxhrzm2up7', 'bc1q06769cdpw3s9nc5tvmx6r2grjv6hvyl4a48fyp', 'bc1qleluhwezhfwxtq8j3d09tmjl9m68xyrsds2rg5', 'bc1qwsv2xvn06n4muurlwgsexqdhst4fhayh5m69ke', 'bc1qshqzh4espff6rdwn8sy6emrkr3nu3uzf3ca8fu', 'bc1qjes5rk8rr2rvf8s6ypw47htdjsjdce48fxhudc']",[499714043],"[26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 26648298, 99931120]",58453,P2WPKH,168.154.154.107,28447,31.236.213.122,8333,US,3320,SCEN_FAN_OUT_00007
4dedab4f1df2862f296441ea3b7e55794aa181ab3f58531e252d785325a085bc,2026-01-01T00:07:47+00:00,['bc1qj4xacqp6ms3u6phet8eg7xdpefz84a9feekjv2'],"['bc1qkms5k0zuycsy2yrp482rm760l4fjs3nydk0079', 'bc1qhwvc0jh9ez5gmrjx3xfvelu37v2euqkl8fq4up']",[325484550],"[162742275, 162729970]",12305,P2WPKH,45.118.11.224,9086,198.45.174.192,8333,CH,15169,SCEN_NORMAL_00008
65c7113b7272262f53fd95d9436fb482b5fc9b8f710f9f244251adcd3312b9ac,2026-01-01T00:08:05+00:00,"['1iPv6EayhnCvkxsKKLBgFHtuMHtTBrTkqz', '1MPfKz9z8L71TXkoeHFD94F8h1r2ozSiMA', '1G1KpBLLo5Jd7V8YeChDGifnFge9osQDQq', '1rBv2sDTQcJ8p4WP9ag6ojv5iUrzqAS8u8', 'bc1q7adyv95y277u4vjfevvvkg3f6rntg8zzvj5xww', 'bc1quya8utxh8h82a4tlsg3mpvfuk0962zt40wt2wh', 'bc1qznm5p5rf7yqwe72fcscz5pgpl8mdvy8c3336mr', 'bc1qa3kx36uvgsxzesvfy2tlpfuy3qlfr9ax5jv220', 'bc1qq2y8cz0lwz6a4xhrpr0v9wmvjwjj70zxtvrhrn', 'bc1qyr4fraljlle0cznngjsmlrxdxwt2exh63myqvg']",['3BowsCptPsFswN5xN8kUjNgVFQYRxBsYxJ'],"[175939957, 21774261, 97300780, 326068039, 6246249, 9818424, 11265874, 6107612, 6587214, 11573037]",[672649125],32322,P2SH,168.105.242.26,38813,198.161.53.69,8333,SE,14061,SCEN_FAN_IN_00009
6e443ce13d10a223d7300503b1c794f81e3b63c607d417a78bf113b67ae81454,2026-01-01T00:08:18+00:00,['1HWpaJykyD9XASY1t8QgnZqd1B1o8DiTvN'],"['1R6bTwQ8uziFcbXsz7DZ7ncoz56kc8CEdv', 'bc1qdwdanrfjs6nxqmgszldq7dr5klvay27rxdt9l3']",[141312589],"[70656294, 70654214]",2081,P2WPKH,104.148.135.72,57062,62.133.1.156,8333,US,24940,SCEN_NORMAL_00010
