event_id,txid,timestamp,src_ip,src_port,dst_ip,dst_port,country,asn
EVT_13ecb418ff6cbe12,13ecb418ff6cbe12e91552b86ecd826774664861287277cc2751b2e7ca94a854,2026-01-01T00:00:56+00:00,78.18.57.65,21713,203.12.32.187,8332,US,15169
EVT_ed5e09b24ff62728,ed5e09b24ff62728c246af298e1672e8c0f68b5e97cfbc828cbb510abb0409e0,2026-01-01T00:01:04+00:00,104.26.184.134,27880,51.109.74.176,8333,NL,15169
EVT_1d763518bfe62b77,1d763518bfe62b77c8418303a476368bb080fffa0f48e11086a23167be2e0029,2026-01-01T00:01:14+00:00,104.26.184.224,48130,78.129.252.165,8333,NL,15169
EVT_db5298e8679d9d00,db5298e8679d9d00a5921cd3fcdec76e41239800ce74951f20d0541cae4c4c5b,2026-01-01T00:01:19+00:00,104.26.184.52,45576,24.78.26.42,8333,NL,15169
EVT_32d175987c29bce2,32d175987c29bce2573d6bf0ea08f9dfdca64a98750c3f687b251ceee7e87b95,2026-01-01T00:01:20+00:00,104.26.184.166,24993,178.16.231.142,8333,NL,15169
EVT_0db545180c0701ed,0db545180c0701edba677cce2fd0991083906c425a271b0fc7618140d5cb9d5c,2026-01-01T00:01:26+00:00,104.26.184.202,4404,203.44.216.141,8333,NL,15169
EVT_8343280dd0b0354d,8343280dd0b0354db1bb937dbad52855935f2d2c68f3109a267cbd6496e45081,2026-01-01T00:01:42+00:00,45.99.98.240,36974,198.78.30.62,8333,NL,14061
EVT_dfc6997e2fcc4883,dfc6997e2fcc48837b2694d08d6cf4ebf437897faa3c0eacceafdf7bee9f36d5,2026-01-01T00:03:12+00:00,168.135.218.144,30044,85.193.58.146,18333,PA,15169
EVT_1c685597019cbf28,1c685597019cbf28b4dfb58d5a9b4500b00a764cf9507e3e44f7634836835bc0,2026-01-01T00:03:22+00:00,185.150.207.6,58672,24.226.137.66,8333,FR,16509
EVT_1d465b88b7ee117e,1d465b88b7ee117e9fb86b59f7db9fee24d072b24ee53c43e35090c73b38e0bf,2026-01-01T00:04:11+00:00,78.169.69.239,50207,142.240.184.244,8333,US,3320
EVT_a173102a49ef0854,a173102a49ef08547d6355248a7729e1de0fa8b3d6e9bb03d2a1815d6207636a,2026-01-01T00:04:46+00:00,168.176.149.63,9150,104.99.129.197,8080,JP,7018
EVT_d9cad67f44737971,d9cad67f44737971883ad657b3e8c88a6d15f60f25db721b68f7279a73021580,2026-01-01T00:05:20+00:00,168.112.65.162,23218,198.114.15.136,8332,DE,13335
