txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,src_port,dst_ip,dst_port,country,asn,scenario_id
13ecb418ff6cbe12e91552b86ecd826774664861287277cc2751b2e7ca94a854,2026-01-01T00:00:56+00:00,['bc1qv80sxylz8an7uygs9s7yvj45qzg2v5udu8k2nv'],['1XkZoYxWg9YqXJFFBZqtN2UadqVYQ4GyPt'],[207309306],[207306293],3013,P2WPKH,78.18.57.65,21713,203.12.32.187,8332,US,15169,SCEN_NORMAL_00001
ed5e09b24ff62728c246af298e1672e8c0f68b5e97cfbc828cbb510abb0409e0,2026-01-01T00:01:04+00:00,['bc1qr5en03dg3we7jvxgz9tk3w8fdlvypr4arfl49j'],"['1nNW2UwHxsh9pnqgBtorC35CCEGpYGUTR3', 'bc1q6arfx0j8h068zr909r62982dh9zthe9lp6we5p']",[126208424],"[78736550, 47462416]",9458,P2WPKH,104.26.184.134,27880,51.109.74.176,8333,NL,15169,SCEN_BURST_00002
1d763518bfe62b77c8418303a476368bb080fffa0f48e11086a23167be2e0029,2026-01-01T00:01:14+00:00,['bc1qnzvqjqr6uad9mwrslcfdpgwddqaxl4kf6r662n'],"['bc1qfxatttzseed8qtcvsajwqhra96flsg7sxv8cx4', 'bc1qu44fccj0ek8qcsyshasvgcluuy68ppkdqg3vth']",[490076502],"[354475438, 135592856]",8208,P2WPKH,104.26.184.224,48130,78.129.252.165,8333,NL,15169,SCEN_BURST_00002
db5298e8679d9d00a5921cd3fcdec76e41239800ce74951f20d0541cae4c4c5b,2026-01-01T00:01:19+00:00,['bc1q2c922kaxsnqckan4punawhf9rlfvvvzgxex2nx'],"['1Pv9uty3KJki98pSPUCdPJ8qKGE235Engg', 'bc1qad2x7kar3tw49p39fssxdad2ge2e6t50v2t6p6']",[366998347],"[118200375, 248791023]",6949,P2WPKH,104.26.184.52,45576,24.78.26.42,8333,NL,15169,SCEN_BURST_00002
32d175987c29bce2573d6bf0ea08f9dfdca64a98750c3f687b251ceee7e87b95,2026-01-01T00:01:20+00:00,['bc1qdvpx2jwn9xfpy9nvs382lf2artpvjtyv0jnvde'],"['1ouBTQi87vkTPngWN43FsLLPcwv7g6PuyG', 'bc1q7we82893n0rpvytyk9chv6x9aphs7e2xvz50ru']",[436759708],"[125492727, 311261610]",5371,P2WPKH,104.26.184.166,24993,178.16.231.142,8333,NL,15169,SCEN_BURST_00002
0db545180c0701edba677cce2fd0991083906c425a271b0fc7618140d5cb9d5c,2026-01-01T00:01:26+00:00,['bc1qu44fccj0ek8qcsyshasvgcluuy68ppkdqg3vth'],"['bc1qu06tk89lman65nljgmjwqen0uur8sn8yru2jrn', 'bc1q0qtmna06u5qtqn6cvls8hdf976ewctg8vrz76w']",[135592856],"[85026134, 50557030]",9692,P2WPKH,104.26.184.202,4404,203.44.216.141,8333,NL,15169,SCEN_BURST_00002
8343280dd0b0354db1bb937dbad52855935f2d2c68f3109a267cbd6496e45081,2026-01-01T00:01:42+00:00,"['33xTsc3atSrESUBni8Fn7F3W5pTfPB5PSk', '3xQKZJ67edKuqYNsUzFnxGZzVeFuECFPSg']","['14Dp94yLLG4KFE4MDoxsmTeACs1rx2wCNc', 'bc1q79g8r27rl2kmdzgdh37zvh9dde6ymgtnza5rq7']","[32050302, 271892654]","[58603862, 245331155]",7939,P2WPKH,45.99.98.240,36974,198.78.30.62,8333,NL,14061,SCEN_NORMAL_00003
dfc6997e2fcc48837b2694d08d6cf4ebf437897faa3c0eacceafdf7bee9f36d5,2026-01-01T00:03:12+00:00,"['bc1q8fwhcvvlwxytqv4efg78nstewdt5xjxan6wx2w', 'bc1qwvfwvsqmzw49k92fu6mq2zftcv8vntul9jzym4']","['3X7sYf2btHc6MmBYVm75PpBYMm1WhoEqU6', 'bc1quluwpmzmdspjd5k8d5fs8nwj6fnzl33lpaz9ul']","[66496847, 232349958]","[188531904, 110308566]",6335,P2WPKH,168.135.218.144,30044,85.193.58.146,18333,PA,15169,SCEN_NORMAL_00004
1c685597019cbf28b4dfb58d5a9b4500b00a764cf9507e3e44f7634836835bc0,2026-01-01T00:03:22+00:00,"['bc1qqlkpuhjqdtq5l2a7zr8qufn5rh57ppq985jnav', 'bc1qd9djc52n84ut5hal2ftsjzepfcqpjprrak9gp7']","['bc1qk50qr6pdmzs2tmxdqejyrz9sssuv0e3tg3uhac', '38jZ9JrJ1JAobF9HB23fNJ63ZtK9sfWfmT', '1MHfEotrv2DSKRrbW6xe8sm9z4Fpmbw8cX', '3Arjd4JK9FutVMMbKojCddxgTcKb3GBw98', '3Fsm968sdezE9qu4vVoygfSbqNFyW6dM8g', '1q4y1UFC8M2wZxwpJYU17RFqFnP1ecifgC', '38AhuVTyK4Z1SKmGWbPLjCSoGAj1ssggXC', 'bc1qcwlz487e59rc4vdcygcu4vu5uesz4r9878ja20']","[16240954064, 8744401009]","[1593929604, 1593929604, 1593929604, 1593929604, 1593929604, 1593929604, 1593929604, 13827811211]",36634,P2WPKH,185.150.207.6,58672,24.226.137.66,8333,FR,16509,SCEN_BENIGN_HIGH_VOL_00005
1d465b88b7ee117e9fb86b59f7db9fee24d072b24ee53c43e35090c73b38e0bf,2026-01-01T00:04:11+00:00,['bc1qkhy9d49at77avjdvtnnduh8gzzu6xpgp7p74dx'],"['bc1qpjgjt8az2xnnx5ue296n2e8r2palmndctvztvu', 'bc1qrjv6rucdt9nlfkpv2rcysyuhxkg5p4fxpwdxmw']",[140543749],"[108633098, 31902977]",7674,P2WPKH,78.169.69.239,50207,142.240.184.244,8333,US,3320,SCEN_NORMAL_00006
a173102a49ef08547d6355248a7729e1de0fa8b3d6e9bb03d2a1815d6207636a,2026-01-01T00:04:46+00:00,['1MHfEotrv2DSKRrbW6xe8sm9z4Fpmbw8cX'],"['3jfJBsyvz26TG8Qedr7nw33TPFkb6SWjyQ', 'bc1qzwfcs34f0wtyj673k3n2egtg0f9pyh4352cvcp']",[139108279],"[21958444, 117135824]",14011,P2WPKH,168.176.149.63,9150,104.99.129.197,8080,JP,7018,SCEN_NORMAL_00007
d9cad67f44737971883ad657b3e8c88a6d15f60f25db721b68f7279a73021580,2026-01-01T00:05:20+00:00,"['bc1qnh2v92v3zptpnuvc9a6srcsqfge4jzgpr2ph4r', 'bc1qqnpnvwg56jjhmu4c3yznhzfnfe8lpcp9rzxxpl', 'bc1qk6g8624g52gnagjy2y8dn7q8ae3vk88j89w64t', 'bc1qedfmgqym6r98uvl4uqw4s6fhupmht7uh2r4la2', 'bc1qwfj6n0hslrrl8lysjmlhtk43308nhdk0wcq9ur', 'bc1qkemly2kmuzrzvclkqqxv5s3thm9605w0s9rmjz', 'bc1qrxj3rcdcl6h2ldjajjaregnxz2e23xu03vcdr5', 'bc1qt5efmdz57saeavvn5qsatrqgvyq57m25l2ztr9', 'bc1qr40385xawdjgxhrzm2up706769cdpw3s9nc5tv', 'bc1q2grjv6hvyl4a48fypleluhwezhfwxtq8j3d09t', 'bc1q8xyrsds2rg5wsv2xvn06n4muurlwgsexqdhst4', 'bc1qayh5m69keshqzh4espff6rdwn8sy6emrkr3nu3']",['3wytYzagEpn3BAi8ETpHDRur5nQdJvg8Qr'],"[189245428, 357036936, 417810082, 25602435, 17852077, 19305552, 13321483, 12866043, 15807730, 10039580, 17514610, 16684776]",[1113054345],32387,P2SH,168.112.65.162,23218,198.114.15.136,8332,DE,13335,SCEN_FAN_IN_00008
4acebeed081571bea360ef465390e0f6cf052ec8eaf0b0c28e0008cd7ce64eba,2026-01-01T00:06:14+00:00,['3BwzchMJREhj89SxNGz5A2yki8weZ5jYDv'],"['bc1qz4l8lte9capjtu36qs3ek995f7030ddge6jypm', 'bc1qdce48fxhudc0pqycgkk99uu8ymvmwn5hwvc0jh']",[186423443],"[60881223, 125536329]",5891,P2WPKH,104.80.69.37,13358,93.17.57.142,8333,US,24940,SCEN_NORMAL_00009
252346b2207c7905a841336d9c22f467e69dc1370642e01ff01171d323de74ac,2026-01-01T00:07:18+00:00,['11yJc4WfjpyH5Zv8zQMaTEoNABK9e2x1BH'],"['3Gu2cHHkWm1dLQ9rAuMFtTu8jnnJYTubKB', 'bc1q3xfvelu37v2euqkl8fq4up8dr5v7adyv95y277']",[145336427],"[119291757, 26033519]",11151,P2WPKH,78.175.136.106,64201,185.66.55.53,8333,GB,7018,SCEN_NORMAL_00010
eafd14c129e6c458a852535fd8d9cb4a8dde1594d68b9335be3f53b9793a1c73,2026-01-01T00:08:09+00:00,['1nNW2UwHxsh9pnqgBtorC35CCEGpYGUTR3'],"['3154ND5K7NAVzN6sugixKJAo1xEmuYajrv', 'bc1qg8zzvj5xww547vwuya8utxh8h82a4tlsg3mpvf']",[415297936],"[154403420, 260888876]",5640,P2WPKH,104.143.245.172,1502,168.33.227.236,8333,GB,16509,SCEN_NORMAL_00011
b541831e01ed81153d00bf765759d695090d0e5d5beee83a63a05fdb099142f1,2026-01-01T00:09:24+00:00,['bc1q4t7jt35waawsvsm46shx44hgw8hetdw3sqan7k'],"['bc1qrctx2m9uu8gusgeqvepemj6emhq0m7lsxrcw6d', 'bc1qlvpznm5p5rf7yqwe72fcscz5pgpl8mdvy8c333']",[485241746],"[225453476, 259773824]",14446,P2WPKH,104.169.78.24,40604,104.80.96.97,8333,JP,15169,SCEN_NORMAL_00012
a8dc090db6889c7753f85d69b9c9654e2f99706f16db84c3833e58469bb0a870,2026-01-01T00:10:24+00:00,['bc1q9gfxf803nzxx8qsk4wgtvrnkcqy675xkudux05'],"['311MRL2tzddQw5CDhgYCbEP7xkAfQdCzVn', 'bc1qxzesvfy2tlpfuy3qlfr9ax5jv2205gw66q2y8c']",[483419360],"[151468307, 331946556]",4497,P2WPKH,104.49.167.156,41598,24.198.154.151,8332,JP,3320,SCEN_NORMAL_00013
f23fccb3b33cf6b87e1ae7eef0227a24c0a7749655b08e25ca67d570b371ad3c,2026-01-01T00:10:35+00:00,['bc1qckkkdg8wjtdck8edun4l35j982sg594gx7emvr'],"['31Td4TkvymUi6D7C8t9xecsaWHThRwaGM7', 'bc1qhrpr0v9wmvjwjj70zxtvrhrn727yr4fraljlle']",[280417539],"[237083999, 43318601]",14939,P2WPKH,78.198.75.236,38301,93.172.81.84,8333,BZ,16276,SCEN_NORMAL_00014
