txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,src_port,dst_ip,dst_port,country,asn,scenario_id
ed5e09b24ff62728c246af298e1672e8c0f68b5e97cfbc828cbb510abb0409e0,2026-01-01T00:01:04+00:00,['bc1qr5en03dg3we7jvxgz9tk3w8fdlvypr4arfl49j'],"['1nNW2UwHxsh9pnqgBtorC35CCEGpYGUTR3', 'bc1q6arfx0j8h068zr909r62982dh9zthe9lp6we5p']",[126208424],"[78736550, 47462416]",9458,P2WPKH,104.26.184.134,27880,51.109.74.176,8333,NL,15169,SCEN_BURST_00002
1d763518bfe62b77c8418303a476368bb080fffa0f48e11086a23167be2e0029,2026-01-01T00:01:14+00:00,['bc1qnzvqjqr6uad9mwrslcfdpgwddqaxl4kf6r662n'],"['bc1qfxatttzseed8qtcvsajwqhra96flsg7sxv8cx4', 'bc1qu44fccj0ek8qcsyshasvgcluuy68ppkdqg3vth']",[490076502],"[354475438, 135592856]",8208,P2WPKH,104.26.184.224,48130,78.129.252.165,8333,NL,15169,SCEN_BURST_00002
db5298e8679d9d00a5921cd3fcdec76e41239800ce74951f20d0541cae4c4c5b,2026-01-01T00:01:19+00:00,['bc1q2c922kaxsnqckan4punawhf9rlfvvvzgxex2nx'],"['1Pv9uty3KJki98pSPUCdPJ8qKGE235Engg', 'bc1qad2x7kar3tw49p39fssxdad2ge2e6t50v2t6p6']",[366998347],"[118200375, 248791023]",6949,P2WPKH,104.26.184.52,45576,24.78.26.42,8333,NL,15169,SCEN_BURST_00002
32d175987c29bce2573d6bf0ea08f9dfdca64a98750c3f687b251ceee7e87b95,2026-01-01T00:01:20+00:00,['bc1qdvpx2jwn9xfpy9nvs382lf2artpvjtyv0jnvde'],"['1ouBTQi87vkTPngWN43FsLLPcwv7g6PuyG', 'bc1q7we82893n0rpvytyk9chv6x9aphs7e2xvz50ru']",[436759708],"[125492727, 311261610]",5371,P2WPKH,104.26.184.166,24993,178.16.231.142,8333,NL,15169,SCEN_BURST_00002
0db545180c0701edba677cce2fd0991083906c425a271b0fc7618140d5cb9d5c,2026-01-01T00:01:26+00:00,['bc1qu44fccj0ek8qcsyshasvgcluuy68ppkdqg3vth'],"['bc1qu06tk89lman65nljgmjwqen0uur8sn8yru2jrn', 'bc1q0qtmna06u5qtqn6cvls8hdf976ewctg8vrz76w']",[135592856],"[85026134, 50557030]",9692,P2WPKH,104.26.184.202,4404,203.44.216.141,8333,NL,15169,SCEN_BURST_00002
d9cad67f44737971883ad657b3e8c88a6d15f60f25db721b68f7279a73021580,2026-01-01T00:05:20+00:00,"['bc1qnh2v92v3zptpnuvc9a6srcsqfge4jzgpr2ph4r', 'bc1qqnpnvwg56jjhmu4c3yznhzfnfe8lpcp9rzxxpl', 'bc1qk6g8624g52gnagjy2y8dn7q8ae3vk88j89w64t', 'bc1qedfmgqym6r98uvl4uqw4s6fhupmht7uh2r4la2', 'bc1qwfj6n0hslrrl8lysjmlhtk43308nhdk0wcq9ur', 'bc1qkemly2kmuzrzvclkqqxv5s3thm9605w0s9rmjz', 'bc1qrxj3rcdcl6h2ldjajjaregnxz2e23xu03vcdr5', 'bc1qt5efmdz57saeavvn5qsatrqgvyq57m25l2ztr9', 'bc1qr40385xawdjgxhrzm2up706769cdpw3s9nc5tv', 'bc1q2grjv6hvyl4a48fypleluhwezhfwxtq8j3d09t', 'bc1q8xyrsds2rg5wsv2xvn06n4muurlwgsexqdhst4', 'bc1qayh5m69keshqzh4espff6rdwn8sy6emrkr3nu3']",['3wytYzagEpn3BAi8ETpHDRur5nQdJvg8Qr'],"[189245428, 357036936, 417810082, 25602435, 17852077, 19305552, 13321483, 12866043, 15807730, 10039580, 17514610, 16684776]",[1113054345],32387,P2SH,168.112.65.162,23218,198.114.15.136,8332,DE,13335,SCEN_FAN_IN_00008
9fefdcee3c57307d74be57872c15a685445a67ae847c661863c89b2b65292f34,2026-01-01T00:17:00+00:00,['37krTBvtpfJ3MDDvvheaSqxXVLbcVQS1s8'],"['3cpL8Ca2i8Euat1SnvAaTsHADaRww51Wta', 'bc1q6vc9npcld02emaq63dqkxsm80z4gnrs2muryla']",[100338801],"[64690174, 35632866]",15761,P2WPKH,78.118.79.179,37767,104.128.149.148,9333,IN,15169,SCEN_BURST_00026
ee7cf40d7ed232b17d0d16cab61cec552614cd8cadce1d259965312d4462ed7c,2026-01-01T00:17:05+00:00,['3ixT53eE43HW7WNrNa4yS5y8Q1GkZNzZxL'],"['3FYwLrR1WhyUYECpM71cy1Ws7SrbhQEKk9', 'bc1q6lcc7mdt4f0lpj594kz33mxas7qkcrz4u8cygn']",[474152675],"[192154542, 281984358]",13775,P2WPKH,78.118.79.71,36336,104.234.234.158,18333,IN,15169,SCEN_BURST_00026
3e320a6888641fa9d0de85696e3c5a5666c3ecbc04375d9d57556b7ada52999b,2026-01-01T00:17:08+00:00,['3r85sr11QEPq7u74RvPzRnmUVPrgaWwYjt'],"['3fNTP7ssbtQ5TRukDsHjAQMHDekyK5Yq1y', 'bc1qntygnppk6mkl3wspqstka632j9pnp9szgpw9pm']",[308165745],"[195205413, 112950214]",10118,P2WPKH,78.118.79.19,38685,178.193.126.68,8333,IN,15169,SCEN_BURST_00026
f976aa1682c4d70a9f2bfd793e01e1fdf3b198ed5d1fab603667cefbdb6778bb,2026-01-01T00:17:12+00:00,['3yzG1dTAp4qevYAzxBV4ZKAs3MvBS1JmbD'],"['bc1qe66h0xvtrz7v70ye859psm4k4zwxg2ujzyegdx', 'bc1q3peq5fcgwzm4mrxv0ljeyz6e8gaqyww5mdxduy']",[200380926],"[86804173, 113556904]",19849,P2WPKH,78.118.79.189,17384,185.55.75.33,8332,IN,15169,SCEN_BURST_00026
9456d096418fa395091263276f74fa5ccc8bbddbe0df7f771506ae1f23e281d9,2026-01-01T00:17:21+00:00,['bc1q6lcc7mdt4f0lpj594kz33mxas7qkcrz4u8cygn'],"['3hzQ8ebotzrSmJFUpFVXbJ7FWXfud1tWcn', 'bc1q2c69wthxnymt6pg0ew4xex75emup85x9fn9mjz']",[281984358],"[94085683, 187885127]",13548,P2WPKH,78.118.79.118,36350,51.224.208.243,8333,IN,15169,SCEN_BURST_00026
a7d32751ce467ccc51854019f638ffb9ac432df5af2e6ea31dcf94d531e2cc94,2026-01-01T00:25:39+00:00,"['1Xcw5ycvoKEfmFgwQviVocxxHVTxP1NLYR', '1JoAhDuXjK3Mh6Xn5sVQXiwFBAcDU8Da8L', '1jGkKo1DTCXhNRAePA9ovpK9fFAUWHnNtA', '1XPfwvzZp7VqiE5r7U2y6nv9Ko1qDU4DT1', '1nPmaJecXPnPsthBav5t3jyneE7gfiFZdS', '1xNaoTCSZuP2FvbMhr1yJJtywcRi4746Sj', '17geibhdEfRmp3YDD8CQTmpS5HyA3R98Hr', '1dGwiKk97Yuw8j8M9AD8CbiuqK6tQhuvCW', '1uCQGqAuJBMxuJmsVPdMXRCLueCfrbgTj7', '1a8V3BU9JMbP9AKujF6UxV94cFocazaLmj', '1yCTtivMf6fK1spTzUgvH9Mz3wQNRjAeVN', '1emUB8fZPpkpsh8NQhomDcZKqUdiVPujGa', '1uBYpUU58mD7oXRqy8vNpzhmZpTQpm1yJn', '1VBahK381UWonSJxhjPjJ3PU3Bw4nj5aVE', '1ych4hwof4PruhGZ1PkFJTN2rDAKn2wwE2', '1tkNiJphCFxhLqafaEqXirTqGZeNhT4agq', '1NKYVHTp46j6i3cJyDgxne4w6UruhhGPaY', '1MD21gqQvnhZiK3GioJLgdo5odQotnyH18']",['3UDjM5a8FbpppQe69cjCrEAGBAi3FVNidR'],"[5208365844, 18542075850, 12131769920, 4110817722, 16599666160, 3307044775, 3544741860, 12676161036, 9329988870, 6537368502, 4581000140, 2493178435, 8877379000, 22025224575, 6704302260, 12912371094, 13780564350, 707507280]",[164069489389],38284,P2SH,168.77.206.47,19356,31.34.195.166,8333,US,16509,SCEN_FAN_IN_00036
c2ebfdf990896eb9544da91b6acc240c2b17d067555cd67942b07d3186698fad,2026-01-01T00:27:29+00:00,"['311MRL2tzddQw5CDhgYCbEP7xkAfQdCzVn', '3kCeaBz7YDfAgNWjcvRsV8jc5NGQAGuYDs', '3tvjnqve7wa6jiMaddmbaSqbiDKM9VqDKh', '3Y7McXgRLYsrKrkm4av3D6LzepzdbCiMp4', '311MRL2tzddQw5CDhgYCbEP7xkAfQdCzVn', 'bc1qvl4etuzp7ch33q7hedjjhy8l90leadxqmts4qu', 'bc1qxl3rfevsp4hd9zksvfc2z2w03h73ged4xel69d', 'bc1qtuvdx8w4krq9qkx5hrtyl7qeg9ak60hr3zez35', 'bc1qnvs94c0duw275ejxtt0p8xzn4d60ffx6u8hkyu', 'bc1qw4wpxqw9z9dqgs4yaxv3rwez8ygl7lqlswy6q5', 'bc1q28f2hgf029nxajz0rzsa956yr70340wuq7fc6n', 'bc1q25qkmjz7d964zvzddragezeuzc50vnyh862spq']",['36paGeTg46tWwhbRejpR2e8CDjB5m4j358'],"[74576484, 197396951, 267925347, 22795862, 151468307, 17188893, 11514974, 10344783, 15290802, 5873460, 13134636, 18110429]",[805595087],25841,P2SH,78.139.39.159,9207,24.21.117.62,8080,FR,13335,SCEN_FAN_IN_00039
bcd25c5a7edfeaa2df2af8a59ed5fba7b0383f428579e94866edca6cda62745a,2026-01-01T00:30:59+00:00,"['bc1qdnxpc4jxt2mqqwn98805ga5vesy2k8q3uk7nv9', 'bc1qs5ccp4q0t9fpt9usm7skydffswnegwhh4rsuhq', 'bc1qqka0lz4e8gh4ygsayn9jyucqhk247uhk53jpm5', 'bc1qu59upd9vz4480xuee94h4zsj5qudhntagf26ne', 'bc1qsdca9wpk5drarm7zf2d59xp2ptqu09wsunxpxm', 'bc1q88tna36554r2wnzth206mla02755tlm25qvac8', 'bc1q7l6g49g29pvp43hzqjhuwnj9mudx9gtqgh026n', 'bc1qq9xvwly6lez32k6jm757cun4zzd4s7wzyjd7du', 'bc1qrmlsy8p42ctvjl0wd99dxcfyugsu6y63vjxw2p', 'bc1qgmnz8c5s2udy6mx24d9ceae447ry759y27ehvs', 'bc1qc2yp4ml6zspq2gg8xe0juvww95fxpxnhp7es0y', 'bc1q8lf3gtht3wzc2x3gqsknhx9ev2w4qk5c8uz9ty']",['3hzQbVx1cSGSHCmdeptWKP9XzvReV9mSiL'],"[164664489, 239601611, 43534560, 200276950, 275298207, 310347851, 61777425, 280658740, 9780347, 9228505, 5874484, 8258343]",[1609278613],22899,P2SH,168.145.167.162,11763,51.174.56.250,8333,IN,3320,SCEN_FAN_IN_00044
97ec59e2777d791635e33305848dca092836264847a3074f65080be9267c4d50,2026-01-01T00:36:44+00:00,['1rwi7RwTxAomg3bVdyy9dSbyRFityUopYV'],"['1aVK7HVgQVAQrQXt7QfyA1seGDGCLyx6Sx', 'bc1qez8lqelr7c8t3dg4482heq8gf08etsly79hgu0']",[440587621],"[283779880, 156801568]",6173,P2WPKH,168.69.160.221,44881,168.59.132.90,8333,DE,16509,SCEN_BURST_00052
b2824ae82d78c7e24687270b2001d64be37748381bde85863132f62df4a0951c,2026-01-01T00:36:59+00:00,['1cJ8nDZFrZd475WMAsbi91tziXf1YXwiej'],"['15A1gaWvPNLpSYxn41KXPkcW3u79spa2cW', 'bc1qjwn6rj8md7s0h76vwj24d49fjmm7rv2hay6mu9']",[359574324],"[232443792, 127111790]",18742,P2WPKH,168.69.160.253,43864,31.145.221.53,8333,DE,16509,SCEN_BURST_00052
9a2d30791080e3144076cf526f1a947bc6583b1e9e3a1ea4eb9ed5f4d8841d66,2026-01-01T00:37:11+00:00,['1aCQTn5TUH3yBci19yc2ABzCkLKvRU6mTM'],"['1tr6qeBE8HLjFjUwYyAqUFh5VGCVqKnLgu', 'bc1qhmt6zf235eg99j5wdlcs0yepgd7ruy8efnqvad']",[76369540],"[38564029, 37797753]",7758,P2WPKH,168.69.160.41,61564,203.213.178.235,8333,DE,16509,SCEN_BURST_00052
a233f5dda2acaf04cb74b8f803e707ff51cd07bbb589f1cb8cb384c8db56a679,2026-01-01T00:37:26+00:00,['1STCwSPYu4LEbtaDDqdCDkoaH2gdn8CrSy'],"['bc1qu06tk89lman65nljgmjwqen0uur8sn8yru2jrn', 'bc1qrrlsz4zuxldcur0va7aq47wttxauuda2u0r9ly']",[242410551],"[82985435, 159407832]",17284,P2WPKH,168.69.160.212,29301,24.186.16.103,8332,DE,16509,SCEN_BURST_00052
7185b8fce33bd00cc5545abdba512d0c349d532f1b3e8ab1a8383993a3208a61,2026-01-01T00:37:43+00:00,['3wKzAqopRGDBc59iUjvhbNhTPGn3tbr7h9'],['bc1q7sectu3y67n4uhzdzsdxttk4d75w0hx264fzas'],[6566959241],[6566882312],76929,P2WPKH,78.161.110.12,48385,198.36.31.246,8333,JP,14061,SCEN_AMT_ANOM_00053
deb2f9fae4498c3b247a1f63491d775ee4556f3eb1bcaba1969bf68eeac1f8e7,2026-01-01T00:38:52+00:00,['3mcKTA3QvK92pm66aTSxZCXBSFpL36rZb6'],"['1fEpux2g5ZyKwkbZBHA55p2Y39baGT8oeM', 'bc1qlj4g27k8vteq7z25c0pca4z4m6k3hzyhlcpde0']",[475037924],"[272103451, 202926229]",8244,P2WPKH,85.185.199.34,27511,85.186.95.223,9333,RU,60068,SCEN_BURST_00057
817c6e33abb5e9a2d864eab00380c5983bf1155077dac5369911782e7cc25d72,2026-01-01T00:38:56+00:00,['3spy7rDq8eJaBpbcq9WTmFJEsfHUFQVo7b'],"['12HrLQXBu5b9JayXcWB6SsAA3G3v3GjxZa', 'bc1qm4nfr822flru0taha02uesyg9rpmuman2wkl72']",[494057272],"[283389388, 210651377]",16507,P2WPKH,142.66.98.173,9050,203.237.205.139,18333,BZ,15169,SCEN_BURST_00057
