txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,src_port,dst_ip,dst_port,country,asn,scenario_id
ea73ea0b43be1a300c29e344fc9e9d2e3f46c9ed4ddc8ee240cb05e2d7791590,2026-01-01T00:18:51+00:00,['bc1qz7a0kcl2dzls78vmmgfye2433td6g4j70k4sgf'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1q4lz6vw9xrvdt6t09dfvdy8q3xw8mls4dsk2dfr']",[215457724],"[68595362, 146853163]",9199,P2WPKH,51.80.164.93,41858,178.235.20.67,8333,SG,24940,SCEN_COORDINATED_00027
f62d626eef68413301293d6277a4b5b74d1b00a059b7dc2186ada2d57a857a7f,2026-01-01T00:19:00+00:00,['bc1q937lnmyjfcuc5c2h0fx23ntjegaj9cc5uc70m5'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1qgukucnpq9thraf3pv8pa4wds2tr20f677z20qe']",[451906916],"[211736194, 240167601]",3121,P2WPKH,31.123.215.127,60182,198.93.168.9,18333,CH,60068,SCEN_COORDINATED_00027
fcd2b8adb9fad2af64475a6ad6fe08ac3c9e8b3c1d571c3cda6aed7cf27267a8,2026-01-01T00:19:05+00:00,['1qn9QoowaUE7LrH6Wx3uRKhRBPqQqKxx3C'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1qjwv8srrhqwdn7ccm9vw98a6p3pk36qty078ph3']",[368986452],"[112445697, 256534278]",6477,P2WPKH,78.86.160.65,32876,51.92.162.149,18333,NL,16509,SCEN_COORDINATED_00027
53b60bf76b8749f7a6aa26d75711a087ac00c87a5d2ef3f821e14146a38e3ad7,2026-01-01T00:19:39+00:00,['1z6chJhdtgbm98RCyen2zc5Ytm4RhZTjyp'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1q7mrjhadadklw4c044u8satzpphvq3vzkj9um9w']",[496803109],"[314580554, 182214352]",8203,P2WPKH,142.49.207.171,443,203.4.209.28,8332,GB,60068,SCEN_COORDINATED_00027
c053b6991c9da43453da0f97760f966d30d798bdbe6dd956b58cd2d2e4f7aa79,2026-01-01T00:22:53+00:00,['1HXV3B93jH96CPCkchQihQ4jRh3BCRpRDo'],['bc1q8lw6m809fe70g8m78vlczzl4elycnppfdh8vf9'],[457911226],[457902572],8654,P2WPKH,78.57.165.249,47074,168.203.189.26,8333,US,13335,SCEN_MULTIHOP_00032
8b90e47536b44550ead886e174374eebb3477879bd60ff94c626afd6cb105975,2026-01-01T00:23:15+00:00,['bc1q8lw6m809fe70g8m78vlczzl4elycnppfdh8vf9'],['bc1qpljwd5n3zeqznlpkkxlhf30ked37tc3er4zd5m'],[457902572],[457898498],4074,P2WPKH,45.138.172.62,51947,45.98.206.234,8333,DE,16509,SCEN_MULTIHOP_00032
7004a1fa0802180daed3545c23b7868169fbe3212ce42a088d36c80109c7ee35,2026-01-01T00:23:29+00:00,['bc1qpljwd5n3zeqznlpkkxlhf30ked37tc3er4zd5m'],"['bc1qpt0fpry00dnuhau0pl6pm0ggrau4z8sumkyzp0', 'bc1qzt934pqe2jx6xe3zu00hnf4a6jgpshtscmy34l']",[457898498],"[381082275, 76811979]",4244,P2WPKH,168.105.242.142,1298,51.64.133.165,9333,SE,14061,SCEN_MULTIHOP_00032
b8f35916cf7b6c8dc7eb3f078b5d479fc6bea070589eb073d93bb56cc604a54b,2026-01-01T00:28:00+00:00,['1jVqLHBNssC33aoDJMyRYx49DN8AKJcQ7A'],"['bc1qv64g4s7qpcx9tax6czgtjq5fsrr9rnd3cwdc36', 'bc1q66tcqacdg0uuxf95hmlhzndgf9s7c3u4emaqz6']",[305463041],"[267248689, 38206654]",7698,P2WPKH,185.201.14.8,25346,104.163.15.111,8333,BZ,60068,SCEN_MULTIHOP_00041
a1b77fcf19427692952c22af1b556b4670cb43126b7808849d64b3211bd0cc4d,2026-01-01T00:28:26+00:00,['bc1qv64g4s7qpcx9tax6czgtjq5fsrr9rnd3cwdc36'],['bc1qh0a4merhdyzgyeawyeqjeyt4cvqvwtyrwrzc0m'],[267248689],[267240097],8592,P2WPKH,168.138.161.216,9150,185.33.172.27,8332,IR,9009,SCEN_MULTIHOP_00041
371e730959cb85c4768876814b01d5f0c9ec114a7db05ef7b86672cc8dcc3cb9,2026-01-01T00:28:47+00:00,['bc1qh0a4merhdyzgyeawyeqjeyt4cvqvwtyrwrzc0m'],['bc1qngf4a0y70frc00dps3tvl02xuca5se4hq8dnj0'],[267240097],[267236640],3457,P2WPKH,24.178.114.58,11439,51.123.2.215,8332,SC,60068,SCEN_MULTIHOP_00041
