txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,src_port,dst_ip,dst_port,country,asn,scenario_id
ddce6681cba7f8495535daff47fc7815eb66c4aa023c6883b06f3e51d180c5ed,2026-01-01T01:02:34+00:00,"['bc1qf8tyuj7qx3f2uuvjnzz4c8vdntdxhkjxcectv3', '1yUFrSra3MUVzQQVhJbiDWyL1hMaKfz8KC', '1gNVPk4gJbmTSmfo12uB7Esmu6AY57maFs', '3Qy5g8wUAJZLeyd4LkpWF2xw72qY9v5caT', '3tDbHo2gtsr65BANBaumbDXqhP2NwRsqU7', '3VzyZQy3LxUZ2DJRopqjGEh9oRVi2bfPPD']","['bc1qxt2tgpwvkpatu3yfhq60re90hdv0wtsffyyxly', 'bc1qajpam4eer2zj43xlmu66pqmsmnaqjmsda734me', 'bc1qfg6nsam36rl2el32wnhhll7pcqspy68sdrqrxk', 'bc1qf5qlcg9rsnh7gy333kgss8c0k98esc8k4r0urn', 'bc1q4lyg80s349z59r869acak5x5q7uxvnef8h99gp', 'bc1q2ghknfuzcm2202vk0vgzhjuy3qv2294e5snup8', 'bc1qylk7nvh0rualeh84a77w2vv2yhf37up3jylu8f', 'bc1qu8m9r8ydyz2w4tr6y0swvlhvllvpfa65l92g55', 'bc1qepes0knztfh2un76g4hah5403ezechl0r08vg5', 'bc1qcsv6l6ulnkmznxqzs42zr0ehzadspp5hvzk8lr', 'bc1qhytn6ajs5ca6wqe8932psj38k3388ms87kt973', 'bc1qwyzxqxvju892eaeaj0xuy8r68t2wamg8p6n926']","[190937227, 188866257, 11532785535, 448282810, 218241853, 449771266]","[10000000, 10000000, 438277836, 10000000, 10000000, 180932253, 208236879, 11522780561, 178861283, 10000000, 10000000, 439766292]",29844,P2WPKH,185.84.94.205,2198,203.184.179.146,8333,DE,16276,SCEN_MIXING_00085
e50e206b66c8a797dfdfe675c2b9d6519c77af2b77d556b03aa6cc321bd52cef,2026-01-01T01:23:23+00:00,['1E6wab8f6wAUpyCt91tHPAHPEAyLJL8g3y'],"['3SNezpNJCf1RsbYmxrsqPDrcvt1QW44vFZ', 'bc1qhg0338ppw206th7vr9wfayzr08ma6pjspfy5d0']",[3619020064],"[645289401, 2973723979]",6684,P2WPKH,185.177.102.128,17976,78.179.40.23,8333,DE,16509,SCEN_PEELING_00118
fcae991f83f21353aa3bb864b0f80ed196a64b174eee0e91be16c946ff63f06e,2026-01-01T01:24:09+00:00,['bc1qhg0338ppw206th7vr9wfayzr08ma6pjspfy5d0'],"['3gaVQ3dH1rJxu7n2G5sVCKXPnQZJYAiG4N', 'bc1q7kgdp98vp3grprtk08hfd5wv8ld9krxlnyxkgv']",[2973723979],"[682328566, 2291393095]",2318,P2WPKH,185.177.102.246,19548,31.87.128.122,8332,DE,16509,SCEN_PEELING_00118
52bc9bb541036dc5ba5549ec4928f0793244a9ef945a6b1851c84945c8cad6fc,2026-01-01T01:25:00+00:00,['bc1q7kgdp98vp3grprtk08hfd5wv8ld9krxlnyxkgv'],"['bc1q56002e0ajzdrrqfx3h8580dkvajrl7uglvzt29', 'bc1q8dehmtjrnuz92ry0kvgusrt5ejvyl67det39jh']",[2291393095],"[543631275, 1747759028]",2792,P2WPKH,185.177.102.216,52216,78.153.139.84,8333,DE,16509,SCEN_PEELING_00118
b378291e27eeeaebd777fbe21a65e129cb246f53d9b8b21556175aa341bf3d40,2026-01-01T01:25:20+00:00,['bc1q8dehmtjrnuz92ry0kvgusrt5ejvyl67det39jh'],"['bc1q3q6lavpp4v7tu25t2qzw4n65zvqxnk0t5l320m', 'bc1qrkqeealh99p6yydj07n24zs0kzwt67dgqskdvg']",[1747759028],"[487956402, 1259800318]",2308,P2WPKH,185.177.102.17,32263,93.181.140.220,8333,DE,16509,SCEN_PEELING_00118
9b41da4848340df24cd19121cbe4568ee529af8c9c4952534d91504f1b4e0b2d,2026-01-01T01:25:37+00:00,['bc1qrkqeealh99p6yydj07n24zs0kzwt67dgqskdvg'],"['1ReCBQK5M8S7b6u41zWL1GBfFVd6k6gQvc', 'bc1qtjffu3pqfe70834djl2clmcwhr75y350rgr630']",[1259800318],"[293148692, 966646645]",4981,P2WPKH,185.177.102.33,11002,93.5.36.55,8333,DE,16509,SCEN_PEELING_00118
7264513b215338e1c7a929ede1c85c20ac176f159286899f0e6283fa6d2ade55,2026-01-01T01:25:52+00:00,['bc1qtjffu3pqfe70834djl2clmcwhr75y350rgr630'],"['bc1qjdyn26xqucjg85skcjn56qsszufa8zl63l6vsj', 'bc1qwvy502r572vxwf5n3jh7v96ek958t6hqydx874']",[966646645],"[233065409, 733578609]",2627,P2WPKH,185.177.102.224,13191,85.198.10.39,8333,DE,16509,SCEN_PEELING_00118
2a8d5ec0e3be8abdcba55ddaf264283b161b9e314760859d0bad0f3f9e953973,2026-01-01T01:40:48+00:00,['bc1qle3czkv9vr233uxhwrja6f9ed6zh9wyrwl0qhf'],"['bc1qx5hwpu3kaarl86pz72mf8hntwk3jlthm87uglp', 'bc1q25lwznkfd5cscrlgk9kf4a4jqqesq2va7jmq0c']",[277213820],"[56406037, 220804936]",2847,P2WPKH,45.28.124.162,41169,93.93.168.176,8333,CH,24940,SCEN_PEELING_00135
26a1d339b99346c3f4a9bf1175c315ad2777ee4be5c9464d96a772f22f4fb45e,2026-01-01T01:41:26+00:00,['bc1q25lwznkfd5cscrlgk9kf4a4jqqesq2va7jmq0c'],"['13WbPMfbXE87FFqvYKBpm3qeX1gyjRTJGH', 'bc1qakhgxrgk8y63f6yepdadfy7etues3a2e3tf0lt']",[220804936],"[12799796, 207998825]",6315,P2WPKH,45.28.124.3,40673,78.209.129.123,8333,CH,24940,SCEN_PEELING_00135
d123d3be8892f2abd44cf2742fa10a71b6b4715018c390df813c01aecfb94853,2026-01-01T01:41:55+00:00,['bc1qakhgxrgk8y63f6yepdadfy7etues3a2e3tf0lt'],"['1X1fqDmaL4RDP9eNAS9LTt31XTRwHfLDFY', 'bc1qnwqllw5xyp2ln7nxzkpcvc4mkcm9lem77rnpm0']",[207998825],"[56401539, 151591483]",5803,P2WPKH,45.28.124.150,58486,45.198.84.175,8333,CH,24940,SCEN_PEELING_00135
