txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,src_port,dst_ip,dst_port,country,asn,scenario_id
ed5e09b24ff62728c246af298e1672e8c0f68b5e97cfbc828cbb510abb0409e0,2026-01-01T00:01:04+00:00,['bc1qr5en03dg3we7jvxgz9tk3w8fdlvypr4arfl49j'],"['1nNW2UwHxsh9pnqgBtorC35CCEGpYGUTR3', 'bc1q6arfx0j8h068zr909r62982dh9zthe9lp6we5p']",[126208424],"[78736550, 47462416]",9458,P2WPKH,104.26.184.134,27880,51.109.74.176,8333,NL,15169,SCEN_BURST_00002
1d763518bfe62b77c8418303a476368bb080fffa0f48e11086a23167be2e0029,2026-01-01T00:01:14+00:00,['bc1qnzvqjqr6uad9mwrslcfdpgwddqaxl4kf6r662n'],"['bc1qfxatttzseed8qtcvsajwqhra96flsg7sxv8cx4', 'bc1qu44fccj0ek8qcsyshasvgcluuy68ppkdqg3vth']",[490076502],"[354475438, 135592856]",8208,P2WPKH,104.26.184.224,48130,78.129.252.165,8333,NL,15169,SCEN_BURST_00002
db5298e8679d9d00a5921cd3fcdec76e41239800ce74951f20d0541cae4c4c5b,2026-01-01T00:01:19+00:00,['bc1q2c922kaxsnqckan4punawhf9rlfvvvzgxex2nx'],"['1Pv9uty3KJki98pSPUCdPJ8qKGE235Engg', 'bc1qad2x7kar3tw49p39fssxdad2ge2e6t50v2t6p6']",[366998347],"[118200375, 248791023]",6949,P2WPKH,104.26.184.52,45576,24.78.26.42,8333,NL,15169,SCEN_BURST_00002
32d175987c29bce2573d6bf0ea08f9dfdca64a98750c3f687b251ceee7e87b95,2026-01-01T00:01:20+00:00,['bc1qdvpx2jwn9xfpy9nvs382lf2artpvjtyv0jnvde'],"['1ouBTQi87vkTPngWN43FsLLPcwv7g6PuyG', 'bc1q7we82893n0rpvytyk9chv6x9aphs7e2xvz50ru']",[436759708],"[125492727, 311261610]",5371,P2WPKH,104.26.184.166,24993,178.16.231.142,8333,NL,15169,SCEN_BURST_00002
0db545180c0701edba677cce2fd0991083906c425a271b0fc7618140d5cb9d5c,2026-01-01T00:01:26+00:00,['bc1qu44fccj0ek8qcsyshasvgcluuy68ppkdqg3vth'],"['bc1qu06tk89lman65nljgmjwqen0uur8sn8yru2jrn', 'bc1q0qtmna06u5qtqn6cvls8hdf976ewctg8vrz76w']",[135592856],"[85026134, 50557030]",9692,P2WPKH,104.26.184.202,4404,203.44.216.141,8333,NL,15169,SCEN_BURST_00002
d9cad67f44737971883ad657b3e8c88a6d15f60f25db721b68f7279a73021580,2026-01-01T00:05:20+00:00,"['bc1qnh2v92v3zptpnuvc9a6srcsqfge4jzgpr2ph4r', 'bc1qqnpnvwg56jjhmu4c3yznhzfnfe8lpcp9rzxxpl', 'bc1qk6g8624g52gnagjy2y8dn7q8ae3vk88j89w64t', 'bc1qedfmgqym6r98uvl4uqw4s6fhupmht7uh2r4la2', 'bc1qwfj6n0hslrrl8lysjmlhtk43308nhdk0wcq9ur', 'bc1qkemly2kmuzrzvclkqqxv5s3thm9605w0s9rmjz', 'bc1qrxj3rcdcl6h2ldjajjaregnxz2e23xu03vcdr5', 'bc1qt5efmdz57saeavvn5qsatrqgvyq57m25l2ztr9', 'bc1qr40385xawdjgxhrzm2up706769cdpw3s9nc5tv', 'bc1q2grjv6hvyl4a48fypleluhwezhfwxtq8j3d09t', 'bc1q8xyrsds2rg5wsv2xvn06n4muurlwgsexqdhst4', 'bc1qayh5m69keshqzh4espff6rdwn8sy6emrkr3nu3']",['3wytYzagEpn3BAi8ETpHDRur5nQdJvg8Qr'],"[189245428, 357036936, 417810082, 25602435, 17852077, 19305552, 13321483, 12866043, 15807730, 10039580, 17514610, 16684776]",[1113054345],32387,P2SH,168.112.65.162,23218,198.114.15.136,8332,DE,13335,SCEN_FAN_IN_00008
9fefdcee3c57307d74be57872c15a685445a67ae847c661863c89b2b65292f34,2026-01-01T00:17:00+00:00,['37krTBvtpfJ3MDDvvheaSqxXVLbcVQS1s8'],"['3cpL8Ca2i8Euat1SnvAaTsHADaRww51Wta', 'bc1q6vc9npcld02emaq63dqkxsm80z4gnrs2muryla']",[100338801],"[64690174, 35632866]",15761,P2WPKH,78.118.79.179,37767,104.128.149.148,9333,IN,15169,SCEN_BURST_00026
ee7cf40d7ed232b17d0d16cab61cec552614cd8cadce1d259965312d4462ed7c,2026-01-01T00:17:05+00:00,['3ixT53eE43HW7WNrNa4yS5y8Q1GkZNzZxL'],"['3FYwLrR1WhyUYECpM71cy1Ws7SrbhQEKk9', 'bc1q6lcc7mdt4f0lpj594kz33mxas7qkcrz4u8cygn']",[474152675],"[192154542, 281984358]",13775,P2WPKH,78.118.79.71,36336,104.234.234.158,18333,IN,15169,SCEN_BURST_00026
3e320a6888641fa9d0de85696e3c5a5666c3ecbc04375d9d57556b7ada52999b,2026-01-01T00:17:08+00:00,['3r85sr11QEPq7u74RvPzRnmUVPrgaWwYjt'],"['3fNTP7ssbtQ5TRukDsHjAQMHDekyK5Yq1y', 'bc1qntygnppk6mkl3wspqstka632j9pnp9szgpw9pm']",[308165745],"[195205413, 112950214]",10118,P2WPKH,78.118.79.19,38685,178.193.126.68,8333,IN,15169,SCEN_BURST_00026
f976aa1682c4d70a9f2bfd793e01e1fdf3b198ed5d1fab603667cefbdb6778bb,2026-01-01T00:17:12+00:00,['3yzG1dTAp4qevYAzxBV4ZKAs3MvBS1JmbD'],"['bc1qe66h0xvtrz7v70ye859psm4k4zwxg2ujzyegdx', 'bc1q3peq5fcgwzm4mrxv0ljeyz6e8gaqyww5mdxduy']",[200380926],"[86804173, 113556904]",19849,P2WPKH,78.118.79.189,17384,185.55.75.33,8332,IN,15169,SCEN_BURST_00026
9456d096418fa395091263276f74fa5ccc8bbddbe0df7f771506ae1f23e281d9,2026-01-01T00:17:21+00:00,['bc1q6lcc7mdt4f0lpj594kz33mxas7qkcrz4u8cygn'],"['3hzQ8ebotzrSmJFUpFVXbJ7FWXfud1tWcn', 'bc1q2c69wthxnymt6pg0ew4xex75emup85x9fn9mjz']",[281984358],"[94085683, 187885127]",13548,P2WPKH,78.118.79.118,36350,51.224.208.243,8333,IN,15169,SCEN_BURST_00026
ea73ea0b43be1a300c29e344fc9e9d2e3f46c9ed4ddc8ee240cb05e2d7791590,2026-01-01T00:18:51+00:00,['bc1qz7a0kcl2dzls78vmmgfye2433td6g4j70k4sgf'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1q4lz6vw9xrvdt6t09dfvdy8q3xw8mls4dsk2dfr']",[215457724],"[68595362, 146853163]",9199,P2WPKH,51.80.164.93,41858,178.235.20.67,8333,SG,24940,SCEN_COORDINATED_00027
f62d626eef68413301293d6277a4b5b74d1b00a059b7dc2186ada2d57a857a7f,2026-01-01T00:19:00+00:00,['bc1q937lnmyjfcuc5c2h0fx23ntjegaj9cc5uc70m5'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1qgukucnpq9thraf3pv8pa4wds2tr20f677z20qe']",[451906916],"[211736194, 240167601]",3121,P2WPKH,31.123.215.127,60182,198.93.168.9,18333,CH,60068,SCEN_COORDINATED_00027
fcd2b8adb9fad2af64475a6ad6fe08ac3c9e8b3c1d571c3cda6aed7cf27267a8,2026-01-01T00:19:05+00:00,['1qn9QoowaUE7LrH6Wx3uRKhRBPqQqKxx3C'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1qjwv8srrhqwdn7ccm9vw98a6p3pk36qty078ph3']",[368986452],"[112445697, 256534278]",6477,P2WPKH,78.86.160.65,32876,51.92.162.149,18333,NL,16509,SCEN_COORDINATED_00027
53b60bf76b8749f7a6aa26d75711a087ac00c87a5d2ef3f821e14146a38e3ad7,2026-01-01T00:19:39+00:00,['1z6chJhdtgbm98RCyen2zc5Ytm4RhZTjyp'],"['3dP5bFumCvf95oKqrbB6y8qAg3QsJn773x', 'bc1q7mrjhadadklw4c044u8satzpphvq3vzkj9um9w']",[496803109],"[314580554, 182214352]",8203,P2WPKH,142.49.207.171,443,203.4.209.28,8332,GB,60068,SCEN_COORDINATED_00027
c053b6991c9da43453da0f97760f966d30d798bdbe6dd956b58cd2d2e4f7aa79,2026-01-01T00:22:53+00:00,['1HXV3B93jH96CPCkchQihQ4jRh3BCRpRDo'],['bc1q8lw6m809fe70g8m78vlczzl4elycnppfdh8vf9'],[457911226],[457902572],8654,P2WPKH,78.57.165.249,47074,168.203.189.26,8333,US,13335,SCEN_MULTIHOP_00032
8b90e47536b44550ead886e174374eebb3477879bd60ff94c626afd6cb105975,2026-01-01T00:23:15+00:00,['bc1q8lw6m809fe70g8m78vlczzl4elycnppfdh8vf9'],['bc1qpljwd5n3zeqznlpkkxlhf30ked37tc3er4zd5m'],[457902572],[457898498],4074,P2WPKH,45.138.172.62,51947,45.98.206.234,8333,DE,16509,SCEN_MULTIHOP_00032
7004a1fa0802180daed3545c23b7868169fbe3212ce42a088d36c80109c7ee35,2026-01-01T00:23:29+00:00,['bc1qpljwd5n3zeqznlpkkxlhf30ked37tc3er4zd5m'],"['bc1qpt0fpry00dnuhau0pl6pm0ggrau4z8sumkyzp0', 'bc1qzt934pqe2jx6xe3zu00hnf4a6jgpshtscmy34l']",[457898498],"[381082275, 76811979]",4244,P2WPKH,168.105.242.142,1298,51.64.133.165,9333,SE,14061,SCEN_MULTIHOP_00032
a7d32751ce467ccc51854019f638ffb9ac432df5af2e6ea31dcf94d531e2cc94,2026-01-01T00:25:39+00:00,"['1Xcw5ycvoKEfmFgwQviVocxxHVTxP1NLYR', '1JoAhDuXjK3Mh6Xn5sVQXiwFBAcDU8Da8L', '1jGkKo1DTCXhNRAePA9ovpK9fFAUWHnNtA', '1XPfwvzZp7VqiE5r7U2y6nv9Ko1qDU4DT1', '1nPmaJecXPnPsthBav5t3jyneE7gfiFZdS', '1xNaoTCSZuP2FvbMhr1yJJtywcRi4746Sj', '17geibhdEfRmp3YDD8CQTmpS5HyA3R98Hr', '1dGwiKk97Yuw8j8M9AD8CbiuqK6tQhuvCW', '1uCQGqAuJBMxuJmsVPdMXRCLueCfrbgTj7', '1a8V3BU9JMbP9AKujF6UxV94cFocazaLmj', '1yCTtivMf6fK1spTzUgvH9Mz3wQNRjAeVN', '1emUB8fZPpkpsh8NQhomDcZKqUdiVPujGa', '1uBYpUU58mD7oXRqy8vNpzhmZpTQpm1yJn', '1VBahK381UWonSJxhjPjJ3PU3Bw4nj5aVE', '1ych4hwof4PruhGZ1PkFJTN2rDAKn2wwE2', '1tkNiJphCFxhLqafaEqXirTqGZeNhT4agq', '1NKYVHTp46j6i3cJyDgxne4w6UruhhGPaY', '1MD21gqQvnhZiK3GioJLgdo5odQotnyH18']",['3UDjM5a8FbpppQe69cjCrEAGBAi3FVNidR'],"[5208365844, 18542075850, 12131769920, 4110817722, 16599666160, 3307044775, 3544741860, 12676161036, 9329988870, 6537368502, 4581000140, 2493178435, 8877379000, 22025224575, 6704302260, 12912371094, 13780564350, 707507280]",[164069489389],38284,P2SH,168.77.206.47,19356,31.34.195.166,8333,US,16509,SCEN_FAN_IN_00036
c2ebfdf990896eb9544da91b6acc240c2b17d067555cd67942b07d3186698fad,2026-01-01T00:27:29+00:00,"['311MRL2tzddQw5CDhgYCbEP7xkAfQdCzVn', '3kCeaBz7YDfAgNWjcvRsV8jc5NGQAGuYDs', '3tvjnqve7wa6jiMaddmbaSqbiDKM9VqDKh', '3Y7McXgRLYsrKrkm4av3D6LzepzdbCiMp4', '311MRL2tzddQw5CDhgYCbEP7xkAfQdCzVn', 'bc1qvl4etuzp7ch33q7hedjjhy8l90leadxqmts4qu', 'bc1qxl3rfevsp4hd9zksvfc2z2w03h73ged4xel69d', 'bc1qtuvdx8w4krq9qkx5hrtyl7qeg9ak60hr3zez35', 'bc1qnvs94c0duw275ejxtt0p8xzn4d60ffx6u8hkyu', 'bc1qw4wpxqw9z9dqgs4yaxv3rwez8ygl7lqlswy6q5', 'bc1q28f2hgf029nxajz0rzsa956yr70340wuq7fc6n', 'bc1q25qkmjz7d964zvzddragezeuzc50vnyh862spq']",['36paGeTg46tWwhbRejpR2e8CDjB5m4j358'],"[74576484, 197396951, 267925347, 22795862, 151468307, 17188893, 11514974, 10344783, 15290802, 5873460, 13134636, 18110429]",[805595087],25841,P2SH,78.139.39.159,9207,24.21.117.62,8080,FR,13335,SCEN_FAN_IN_00039
b8f35916cf7b6c8dc7eb3f078b5d479fc6bea070589eb073d93bb56cc604a54b,2026-01-01T00:28:00+00:00,['1jVqLHBNssC33aoDJMyRYx49DN8AKJcQ7A'],"['bc1qv64g4s7qpcx9tax6czgtjq5fsrr9rnd3cwdc36', 'bc1q66tcqacdg0uuxf95hmlhzndgf9s7c3u4emaqz6']",[305463041],"[267248689, 38206654]",7698,P2WPKH,185.201.14.8,25346,104.163.15.111,8333,BZ,60068,SCEN_MULTIHOP_00041
a1b77fcf19427692952c22af1b556b4670cb43126b7808849d64b3211bd0cc4d,2026-01-01T00:28:26+00:00,['bc1qv64g4s7qpcx9tax6czgtjq5fsrr9rnd3cwdc36'],['bc1qh0a4merhdyzgyeawyeqjeyt4cvqvwtyrwrzc0m'],[267248689],[267240097],8592,P2WPKH,168.138.161.216,9150,185.33.172.27,8332,IR,9009,SCEN_MULTIHOP_00041
371e730959cb85c4768876814b01d5f0c9ec114a7db05ef7b86672cc8dcc3cb9,2026-01-01T00:28:47+00:00,['bc1qh0a4merhdyzgyeawyeqjeyt4cvqvwtyrwrzc0m'],['bc1qngf4a0y70frc00dps3tvl02xuca5se4hq8dnj0'],[267240097],[267236640],3457,P2WPKH,24.178.114.58,11439,51.123.2.215,8332,SC,60068,SCEN_MULTIHOP_00041
